"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0.1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0.0922,0,0,0,0,0,0,0,0,0,0,0.1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0.3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1147,0,0,0,0,0,0,0,0,0,0,0,0.1353,0,0
"A_Cmpn",0.2061,0.1817,0,0,0,0,0,0,0,0,0,0,0,0.4379,0.1932,0,0.1986,0,0,0,0.1603,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0.174,0,0,0,0,0,0.0717,0,0,0,0,0,0.0931,0,0,0,0,0,0,0.1366,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0.0965,0,0,0.1084,0,0,0,0,0,0,0,0,0.0957,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0.0826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912,0,0,0,0,0.1254,0,0,0,0,0
"C_Prdctv",0,0,0.0924,0,0,0,0,0,0,0,0,0,0,0,0.1096,0,0,0,0,0,0,0,0,0,0.0987,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0.0925,0,0,0,0,0.1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1013,0,0,0,0,0,0,0,0,0,0,0.083,0,0.0979,0,0,0.0875,0,0.1021,0,0
"N_Depr",0,0,0.0629,0,0,0,0,0,0,0,0,0.0848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938,0,0,0,0,0,0
"N_EmoVol",0.0708,0,0,0.0991,0,0,0,0.0699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1013,0,0,0,0,0
"O_IntCur",0.0763,0,0,0,0,0,0,0,0,0,0.1105,0,0,0.1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1001,0,0,0,0
"O_AesSens",0,0,0,0.1757,0.1657,0.1299,0,0,0,0,0,0.1308,0,0,0,0.4226,0,0,0,0,0,0,0,0.0846,0,0,0.1097,0.1361,0,0,0.1132,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1086,0,0
"angry",0,0,0,0,0,0,0.0659,0,0,0,0.0954,0,0,0,0,0,0,0,0,0,0.0978,0.1441,0,0,0,0,0,0.1019,0,0,0,0,0,0.1192
"sick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1482,0
