"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0.2203,0.1702,0,0.067,0,0,0.1335,0,0,0,0,0,0,0,0.0963,0,0,0,0,0,0,0,0,0.1366,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0.1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0.0974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0.1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1291,0.1687,0,0,0,0,0,0,0.0983,0,0,0,0,0
"A_Rspct",0,0,0.0343,0,0,0,0,0,0,0,0,0.0485,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1256,0,0,0,0,0,0,0.0903,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0.1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958,0,0,0.0931,0,0,0,0,0
"N_Anxty",0,0,0.0462,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0.0988,0,0.0731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927,0,0,0.1394,0,0
"O_IntCur",0.0624,0,0,0,0,0,0,0,0,0.0884,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0.0921,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1005,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1079,0,0
"angry",0,0,0,0,0.1178,0.0874,0,0,0,0,0.0827,0,0,0,0.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1243
"sick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1072,0
