"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0.6348,0,-0.5258,0,-0.6112,0.1291,0,0.1747,-0.3657,-0.1546,0,-0.5029,0,-0.1772,0,-0.4663,0.1359,0,0,-0.8875,0,0,0,-0.1524,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0,0,-0.0404,0,0,0,0.2612,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2608,0,0,0.0759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1386,0,0,0,-0.2175,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0.4708,0,0,0,0,0.2516,0,0.1532,0,0,0,0,0,0,0,0,0.1379,0,0,0,0,0,0,0,0,0,0,0,-0.3207
"A_Trust",0,0,0,-0.3367,0,0,0,0.6661,0,-0.5654,0.2018,0,0,0,-0.3375,0,0,0,0,0,0,0,0.0937,0,0,0,0,0,0.5333,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,-0.4251,0,0,0,0,0,0,0,0,0,0,-0.4098,0,-0.0211,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,-0.5542,-0.3611,0,0,0,0.6311,0,0,-0.946,0.4531,0,-0.4777,0,0,0,0,0,0,0,0,0,0.5429,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0.2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3653,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0.2505,0,0,0,0,-0.3424,0,0,0,0.341,0,0,0,0,0.2401,0,0,0.5889,0,0,0,0,-0.697,0.4085,-0.5194,0,0,0,0,0,0,0
"N_Depr",0,0.19,0,0,0,0,-0.0683,0,0,0,0,0,0,0,0,0,0,0,0,0.6863,0,-0.3622,0,0,0.3568,0,-0.3001,0.0673,0,0,0,0,0,0.4467
"N_EmoVol",-0.4652,0,0,0,0,0.7657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4878,0,0,0,0.129,0,0,0,0,0
"O_IntCur",0.5572,0.1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701,0,0,-0.7277,0
"O_AesSens",0,0,0,0,0,0,0,0.4443,0,0.2456,-0.4331,0.5414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399,0,0,0
"O_CrtvImag",0,0,0,0,0,0,-0.2048,0,0,0,0,0,0,0.563,0,0,0.1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567,0,0
"angry",0,0,0,-0.1683,-0.2907,0,0,0,-0.0792,0,0.2858,0.5264,0,0,0,0,0,0,0,0,0,0.4077,0,0,0,-0.3129,0,0,0,0,0,-0.4398,0,-0.088
"AnxSWk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3017,0,0,0,0,0,0.3388,0,0,0,0,0,0,0,-0.2441,0
